method,m,l2_penalty,image,per_pixel_error,latent_norm
vae-20,10,0.0,0,0.05033117341803403,6.695096969604492
vae-20,10,0.0,1,0.11548112520899334,7.252294063568115
vae-20,10,0.0,2,0.07033866518045223,6.061514854431152
vae-20,10,0.0,3,0.1395248249116381,8.924565315246582
vae-20,10,0.0,4,0.09766699042289076,6.554962635040283
vae-20,10,0.0,5,0.12310926718641037,5.4030585289001465
vae-20,10,0.0,6,0.14077314206533095,5.342586517333984
vae-20,10,0.0,7,0.06917049841959366,8.66236686706543
vae-20,10,0.0,8,0.03550989821735977,7.903513431549072
vae-20,10,0.0,9,0.07698051859366913,9.728933334350586
vae-20,10,0.01,0,0.04985153013878746,5.656103134155273
vae-20,10,0.01,1,0.11470688877831046,6.05891227722168
vae-20,10,0.01,2,0.06801869323916701,4.415042877197266
vae-20,10,0.01,3,0.13955960677426213,5.359835147857666
vae-20,10,0.01,4,0.08442024696978194,4.916694164276123
vae-20,10,0.01,5,0.12174408762285865,4.54097843170166
vae-20,10,0.01,6,0.1414263301393554,4.9045562744140625
vae-20,10,0.01,7,0.09409579862368592,4.295961380004883
vae-20,10,0.01,8,0.035315407219743696,6.18699836730957
vae-20,10,0.01,9,0.07682162520993238,7.233203887939453
vae-20,10,0.1,0,0.10054242400291265,3.8150880336761475
vae-20,10,0.1,1,0.11096191040787766,4.825519561767578
vae-20,10,0.1,2,0.05975229374472545,3.7421517372131348
vae-20,10,0.1,3,0.13690240941884632,3.7467193603515625
vae-20,10,0.1,4,0.0540395300671307,2.358407974243164
vae-20,10,0.1,5,0.1251401596291509,3.05976939201355
vae-20,10,0.1,6,0.14143879759747288,4.322686672210693
vae-20,10,0.1,7,0.0912792489832878,3.473106622695923
vae-20,10,0.1,8,0.03900741013122192,3.799919366836548
vae-20,10,0.1,9,0.045638556521909734,3.945084810256958
vae-20,10,1.0,0,0.05427014067459406,3.6838929653167725
vae-20,10,1.0,1,0.08141146143951676,2.986149311065674
vae-20,10,1.0,2,0.06529015544936512,2.407750129699707
vae-20,10,1.0,3,0.025461236514789053,2.3045709133148193
vae-20,10,1.0,4,0.05133280976992216,1.7897424697875977
vae-20,10,1.0,5,0.11587700821742734,2.7095580101013184
vae-20,10,1.0,6,0.08096623638055793,2.0506157875061035
vae-20,10,1.0,7,0.014831844551397484,2.2116763591766357
vae-20,10,1.0,8,0.03754230668976208,2.9540045261383057
vae-20,10,1.0,9,0.03324265631133737,2.354468822479248
vae-30,10,0.0,0,0.10146080168553653,10.775775909423828
vae-30,10,0.0,1,0.09977232790204664,12.939277648925781
vae-30,10,0.0,2,0.10378179704838204,14.031105995178223
vae-30,10,0.0,3,0.05992935629715976,10.81711196899414
vae-30,10,0.0,4,0.1100598203815269,6.9702863693237305
vae-30,10,0.0,5,0.05079829610360221,5.5527729988098145
vae-30,10,0.0,6,0.08770426585022069,8.749390602111816
vae-30,10,0.0,7,0.09889893979386342,12.96923828125
vae-30,10,0.0,8,0.06540657014460417,10.753029823303223
vae-30,10,0.0,9,0.05289508867613453,11.394546508789062
vae-30,10,0.01,0,0.15333641009970264,8.749923706054688
vae-30,10,0.01,1,0.08192150544197795,7.626962661743164
vae-30,10,0.01,2,0.10217084802541809,10.97451114654541
vae-30,10,0.01,3,0.10150130160982304,6.495561122894287
vae-30,10,0.01,4,0.11493385359956303,3.498086929321289
vae-30,10,0.01,5,0.04707844437483685,3.614607334136963
vae-30,10,0.01,6,0.08595065947497177,6.119354724884033
vae-30,10,0.01,7,0.04709937930874339,5.2479400634765625
vae-30,10,0.01,8,0.06464477048275612,6.833745956420898
vae-30,10,0.01,9,0.04794943922690239,6.242932319641113
vae-30,10,0.1,0,0.1442689358078789,5.510193824768066
vae-30,10,0.1,1,0.08244841741072573,5.564378261566162
vae-30,10,0.1,2,0.0959209760777014,4.097108840942383
vae-30,10,0.1,3,0.019809971270106003,3.2520885467529297
vae-30,10,0.1,4,0.1193654592773174,3.0498130321502686
vae-30,10,0.1,5,0.04766455889752163,3.2751073837280273
vae-30,10,0.1,6,0.09058103180859411,3.6012556552886963
vae-30,10,0.1,7,0.06865443443238592,2.1833248138427734
vae-30,10,0.1,8,0.0701334165516119,3.9607527256011963
vae-30,10,0.1,9,0.12380238402753338,5.4556145668029785
vae-30,10,1.0,0,0.10394351506486614,3.2804203033447266
vae-30,10,1.0,1,0.061479337030105226,3.5889713764190674
vae-30,10,1.0,2,0.06712384814094795,2.7394461631774902
vae-30,10,1.0,3,0.023069294865429423,2.468963861465454
vae-30,10,1.0,4,0.08973964439326279,2.4079089164733887
vae-30,10,1.0,5,0.09852276094476017,2.3513402938842773
vae-30,10,1.0,6,0.06956085753309203,1.9977476596832275
vae-30,10,1.0,7,0.06596015617973197,1.8749052286148071
vae-30,10,1.0,8,0.07736817157980386,2.25014591217041
vae-30,10,1.0,9,0.06405861122492079,2.507554054260254
fcvae-20,10,0.0,0,0.05843251091412979,6.492979049682617
fcvae-20,10,0.0,1,0.10507465096238876,8.342803955078125
fcvae-20,10,0.0,2,0.05062910643458495,4.970976829528809
fcvae-20,10,0.0,3,0.029177782846250704,6.695688247680664
fcvae-20,10,0.0,4,0.09225481431149264,7.9408698081970215
fcvae-20,10,0.0,5,0.06135178729771988,6.8648786544799805
fcvae-20,10,0.0,6,0.07242829851735322,5.119289875030518
fcvae-20,10,0.0,7,0.11001635305292654,5.615889072418213
fcvae-20,10,0.0,8,0.08958553928375283,7.8299970626831055
fcvae-20,10,0.0,9,0.07840121062170134,6.177469253540039
fcvae-20,10,0.01,0,0.05735219805425485,6.128215312957764
fcvae-20,10,0.01,1,0.10373194598540106,7.681947708129883
fcvae-20,10,0.01,2,0.0508930957854439,4.501913070678711
fcvae-20,10,0.01,3,0.026295760868729243,5.645723819732666
fcvae-20,10,0.01,4,0.032516061779654604,4.919416904449463
fcvae-20,10,0.01,5,0.05847986387037737,6.391190052032471
fcvae-20,10,0.01,6,0.0718880276004045,4.566648483276367
fcvae-20,10,0.01,7,0.10821570995627276,5.188686370849609
fcvae-20,10,0.01,8,0.09291598898684898,6.241915702819824
fcvae-20,10,0.01,9,0.04994580482295036,5.128172874450684
fcvae-20,10,0.1,0,0.0542022534593444,4.310272693634033
fcvae-20,10,0.1,1,0.0795209126426024,5.18306303024292
fcvae-20,10,0.1,2,0.0398914424488029,3.0171241760253906
fcvae-20,10,0.1,3,0.033356075862778875,3.352881669998169
fcvae-20,10,0.1,4,0.02577582789854921,2.9912967681884766
fcvae-20,10,0.1,5,0.11139859500270251,3.183396577835083
fcvae-20,10,0.1,6,0.08325238493899807,4.115451812744141
fcvae-20,10,0.1,7,0.11359472729051302,4.158061504364014
fcvae-20,10,0.1,8,0.03495524572180268,3.472233533859253
fcvae-20,10,0.1,9,0.1123127779155311,3.9517898559570312
