basis,alpha,m,error
pixel,1e-06,10,0.13325306234075462
pixel,1e-05,10,0.13087243477086055
pixel,0.0001,10,0.1216162044435389
pixel,0.001,10,0.11929901060415242
pixel,0.01,10,0.11946482450089055
pixel,0.1,10,0.11919204026613513
dct,1e-06,10,0.15619834615315714
dct,1e-05,10,0.15394786871842764
dct,0.0001,10,0.10606079333630498
dct,0.001,10,0.10878502717490612
dct,0.01,10,0.10996535177281166
dct,0.1,10,0.11027667537320432
pixel,1e-06,25,0.14281492218424455
pixel,1e-05,25,0.1254881954394332
pixel,0.0001,25,0.12079453310498842
pixel,0.001,25,0.12056258216162541
pixel,0.01,25,0.12077776904827205
pixel,0.1,25,0.11890871099446865
dct,1e-06,25,0.13700037352238137
dct,1e-05,25,0.10488250023266969
dct,0.0001,25,0.10329015087200111
dct,0.001,25,0.10627815532742273
dct,0.01,25,0.10618445983689602
dct,0.1,25,0.10505723589223655
pixel,1e-06,50,0.14248428262232474
pixel,1e-05,50,0.11720863764426484
pixel,0.0001,50,0.11804118252640042
pixel,0.001,50,0.11793097318927315
pixel,0.01,50,0.1176643100220375
pixel,0.1,50,0.11764964995751989
dct,1e-06,50,0.12852497596409013
dct,1e-05,50,0.0849716768094608
dct,0.0001,50,0.09683390100197334
dct,0.001,50,0.09806320456499693
dct,0.01,50,0.095845469996844
dct,0.1,50,0.11084378770501055
pixel,1e-06,75,0.14261707569600815
pixel,1e-05,75,0.11245957523770929
pixel,0.0001,75,0.11344357093585682
pixel,0.001,75,0.11330884977527503
pixel,0.01,75,0.11253179750653311
pixel,0.1,75,0.11781227725249344
dct,1e-06,75,0.09973731492811978
dct,1e-05,75,0.07066986835020016
dct,0.0001,75,0.08602465687981507
dct,0.001,75,0.08775462669041392
dct,0.01,75,0.08373612441606328
dct,0.1,75,0.11741239113165976
pixel,1e-06,100,0.12080678690054367
pixel,1e-05,100,0.10477114489215504
pixel,0.0001,100,0.10738219853975148
pixel,0.001,100,0.107353482581388
pixel,0.01,100,0.10867877043637986
pixel,0.1,100,0.11781227725249344
dct,1e-06,100,0.07775118072486445
dct,1e-05,100,0.05600312818923246
dct,0.0001,100,0.06717853956318952
dct,0.001,100,0.06841358058251386
dct,0.01,100,0.07127802815362515
dct,0.1,100,0.11781227725249344
pixel,1e-06,200,0.08259017578515851
pixel,1e-05,200,0.08294425738145161
pixel,0.0001,200,0.0836977700512425
pixel,0.001,200,0.08550938231302903
pixel,0.01,200,0.11465852220360886
pixel,0.1,200,0.11781227725249344
dct,1e-06,200,0.03278591871051894
dct,1e-05,200,0.036623352162964445
dct,0.0001,200,0.038562967607789586
dct,0.001,200,0.039758851461135544
dct,0.01,200,0.08666413592213566
dct,0.1,200,0.11781227725249344
pixel,1e-06,300,0.04642758209246388
pixel,1e-05,300,0.04064229995483603
pixel,0.0001,300,0.04172848821068181
pixel,0.001,300,0.06422725057596271
pixel,0.01,300,0.11781227725249344
pixel,0.1,300,0.11781227725249344
dct,1e-06,300,0.018322361383098007
dct,1e-05,300,0.020569047105060023
dct,0.0001,300,0.021651844606673885
dct,0.001,300,0.031048909151075575
dct,0.01,300,0.10291659182584727
dct,0.1,300,0.11781227725249344
pixel,1e-06,400,0.014231849493937057
pixel,1e-05,400,0.01075039679751678
pixel,0.0001,400,0.014445694607382245
pixel,0.001,400,0.06171708168115407
pixel,0.01,400,0.11781227725249344
pixel,0.1,400,0.11781227725249344
dct,1e-06,400,0.010912334145855294
dct,1e-05,400,0.01168135272496441
dct,0.0001,400,0.013382945339090258
dct,0.001,400,0.03211094479541945
dct,0.01,400,0.11412746388831482
dct,0.1,400,0.11781227725249344
pixel,1e-06,500,0.0007704807828757523
pixel,1e-05,500,0.00017558712354818625
pixel,0.0001,500,0.003872788642301945
pixel,0.001,500,0.0654388354260634
pixel,0.01,500,0.11781227725249344
pixel,0.1,500,0.11781227725249344
dct,1e-06,500,0.006264511922646132
dct,1e-05,500,0.006542743327152363
dct,0.0001,500,0.009409056345648717
dct,0.001,500,0.03576082977008642
dct,0.01,500,0.11644587281788699
dct,0.1,500,0.11781227725249344
pixel,1e-06,750,1.6197166829015233e-05
pixel,1e-05,750,4.2954765979321294e-05
pixel,0.0001,750,0.002636306990469478
pixel,0.001,750,0.08425191699993394
pixel,0.01,750,0.11781227725249344
pixel,0.1,750,0.11781227725249344
dct,1e-06,750,0.0005773704757742222
dct,1e-05,750,0.0015270143321808698
dct,0.0001,750,0.006922046720516176
dct,0.001,750,0.047172204760979
dct,0.01,750,0.11781227725249344
dct,0.1,750,0.11781227725249344
