m,Lasso (pixel basis),Lasso (DCT basis),"VAE, paper architecture, k=20","VAE, k=20","VAE, k=30","DCGAN, k=20","DCGAN, k=30"
10,0.12165338580785126,0.10320714915482716,0.06799476685278144,0.0778148767162668,0.07551506774080177,0.08638330347848214,0.10595777609018801
25,0.11890471298112822,0.0986008996359513,0.027607125769522827,0.028822624037966017,0.01937793318413377,0.08134458863214511,0.06348619532103585
50,0.11710466446878572,0.08348612010773508,0.011754778665881819,0.01548855020836129,0.019077529499249977,0.03267672019680951,0.03828574683972861
75,0.11270809728294869,0.07101344759972783,0.008428177901947689,0.00877282982425035,0.00914920292434349,0.0166838059176031,0.030621416857977462
100,0.10455147976397897,0.06284362148014447,0.008292401977694,0.008269784632219281,0.0077484025036738706,0.01423525314819194,0.0146915202661097
200,0.08274876004178497,0.03246802220876646,0.0075065803850181394,0.00792102956781118,0.00722789395702841,0.01245180910329175,0.01545513279044749
300,0.04076227264346969,0.020168676861410308,0.0071705362729180796,0.00759974772328559,0.00714093063922198,0.012479419525792599,0.01022774422328742
400,0.01065934535968055,0.01149019142474849,0.007245925083410749,0.00756136724235148,0.007030979950689379,0.01196281305387507,0.00883980767939406
500,0.0007985421230825223,0.00641541307516588,0.007233796938676559,0.007630136053817139,0.00710103302363536,0.011717682581847839,0.009618038884790129
750,1.4992087551299814e-05,0.00063025659820191,0.00698345743043618,0.00745758173998168,0.006921578497710181,0.01156459371711661,0.0084548861611768
